  0: 0   -   -   -   - |   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 58: 4   3   -   -   2 |  11,  64,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 59: 4   3   -   -   - |  12,  64,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 60: 5   4   3   -   - |  12,  64,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 61: 1   5   4   3   - |  12,  64,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 62: 2   1   5   4   3 |  12,  64,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 63: 3   2   1   5   4 |  12,  64,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 64: 3   2   -   1   5 |  12,  64,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 65: 3   2   -   -   1 |  12,  64,   0,   2,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 66: 3   2   -   -   - |  12,  64,   0,   2,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 67: 4   3   2   -   - |  12,  64,   0,   2,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 68: 4   3   -   2   - |  12,  64,   0,   2,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 69: 4   3   -   -   2 |  12,  64,   0,   2,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 70: 4   3   -   -   - |  13,  64,   0,   2,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 71: 5   4   3   -   - |  13,  64,   0,   2,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 72: 1   5   4   3   - |  13,  64,   0,   2,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 73: 2   1   5   4   3 |  13,  64,   0,   2,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 74: 3   2   1   5   4 |  13,  64,   0,   2,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 75: 3   2   -   1   5 |  13,  64,   0,   2,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 76: 3   2   -   -   1 |  13,  64,   0,   3,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 77: 3   2   -   -   - |  13,  64,   0,   3,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 78: 4   3   2   -   - |  13,  64,   0,   3,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 79: 4   3   -   2   - |  13,  64,   0,   3,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 80: 4   3   -   -   2 |  13,  64,   0,   3,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 81: 4   3   -   -   - |  14,  64,   0,   3,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 82: 5   4   3   -   - |  14,  64,   0,   3,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 83: 1   5   4   3   - |  14,  64,   0,   3,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 84: 2   1   5   4   3 |  14,  64,   0,   3,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 85: 3   2   1   5   4 |  14,  64,   0,   3,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 86: 3   2   -   1   5 |  14,  64,   0,   3,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 87: 3   2   -   -   1 |  14,  64,   0,   4,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 88: 3   2   -   -   - |  14,  64,   0,   4,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 89: 4   3   2   -   - |  14,  64,   0,   4,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 90: 4   3   -   2   - |  14,  64,   0,   4,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 91: 4   3   -   -   2 |  14,  64,   0,   4,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 92: 4   3   -   -   - |  15,  64,   0,   4,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 93: 5   4   3   -   - |  15,  64,   0,   4,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 94: 1   5   4   3   - |  15,  64,   0,   4,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 95: 2   1   5   4   3 |  15,  64,   0,   4,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 96: 3   2   1   5   4 |  15,  64,   0,   4,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 97: 3   2   -   1   5 |  15,  64,   0,   4,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 98: 3   2   -   -   1 |  15,  64,   0,   5,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
 99: 3   2   -   -   - |  15,  64,   0,   5,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
100: 4   3   2   -   - |  15,  64,   0,   5,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
101: 4   3   -   2   - |  15,  64,   0,   5,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
102: 4   3   -   -   2 |  15,  64,   0,   5,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
103: 4   3   -   -   - |  16,  64,   0,   5,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
104: 5   4   3   -   - |  16,  64,   0,   5,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
105: 1   5   4   3   - |  16,  64,   0,   5,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
106: 2   1   5   4   3 |  16,  64,   0,   5,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
107: 3   2   1   5   4 |  16,  64,   0,   5,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
108: 3   2   -   1   5 |  16,  64,   0,   5,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
109: 3   2   -   -   1 |  16,  64,   0,   6,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
110: 3   2   -   -   - |  16,  64,   0,   6,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
111: 4   3   2   -   - |  16,  64,   0,   6,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
112: 4   3   -   2   - |  16,  64,   0,   6,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
113: 4   3   -   -   2 |  16,  64,   0,   6,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
114: 4   3   -   -   - |  17,  64,   0,   6,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
115: 5   4   3   -   - |  17,  64,   0,   6,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
116: 1   5   4   3   - |  17,  64,   0,   6,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
117: 2   1   5   4   3 |  17,  64,   0,   6,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
118: 3   2   1   5   4 |  17,  64,   0,   6,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
119: 3   2   -   1   5 |  17,  64,   0,   6,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
120: 3   2   -   -   1 |  17,  64,   0,   7,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
121: 3   2   -   -   - |  17,  64,   0,   7,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
122: 4   3   2   -   - |  17,  64,   0,   7,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
123: 4   3   -   2   - |  17,  64,   0,   7,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
124: 4   3   -   -   2 |  17,  64,   0,   7,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
125: 4   3   -   -   - |  18,  64,   0,   7,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
126: 5   4   3   -   - |  18,  64,   0,   7,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
127: 1   5   4   3   - |  18,  64,   0,   7,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
128: 2   1   5   4   3 |  18,  64,   0,   7,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
129: 3   2   1   5   4 |  18,  64,   0,   7,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
130: 3   2   -   1   5 |  18,  64,   0,   7,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
131: 3   2   -   -   1 |  18,  64,   0,   8,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
132: 3   2   -   -   - |  18,  64,   0,   8,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
133: 4   3   2   -   - |  18,  64,   0,   8,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
134: 4   3   -   2   - |  18,  64,   0,   8,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
135: 4   3   -   -   2 |  18,  64,   0,   8,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
136: 4   3   -   -   - |  19,  64,   0,   8,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
137: 5   4   3   -   - |  19,  64,   0,   8,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
138: 1   5   4   3   - |  19,  64,   0,   8,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
139: 2   1   5   4   3 |  19,  64,   0,   8,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
140: 3   2   1   5   4 |  19,  64,   0,   8,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
141: 3   2   -   1   5 |  19,  64,   0,   8,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
142: 3   2   -   -   1 |  19,  64,   0,   9,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
143: 3   2   -   -   - |  19,  64,   0,   9,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
144: 4   3   2   -   - |  19,  64,   0,   9,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
145: 4   3   -   2   - |  19,  64,   0,   9,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
146: 4   3   -   -   2 |  19,  64,   0,   9,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
147: 4   3   -   -   - |  1A,  64,   0,   9,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
148: 5   4   3   -   - |  1A,  64,   0,   9,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
149: 1   5   4   3   - |  1A,  64,   0,   9,   0,   0,   0,   0,   0,   0,   0,   0,   0, 
